fft, 64, 0.000005, 0.00
fft_simd, 64, 0.000005, 0.00
fft_task, 64, 0.006901, 0.00
fft_task_simd, 64, 0.000268, 0.00
fft_task_simd_2, 64, 0.000242, 0.00
fft_task_simd_3, 64, 0.000172, 0.00
fft_task_simd_4, 64, 0.000190, 0.00
fft_task_simd_5, 64, 0.000206, 0.00
fft_task_simd_6, 64, 0.000140, 0.00
fft_task_simd_7, 64, 0.000140, 0.00
fft, 128, 0.000016, 0.00
fft_simd, 128, 0.000014, 0.00
fft_task, 128, 0.000219, 0.00
fft_task_simd, 128, 0.000228, 0.00
fft_task_simd_2, 128, 0.000188, 0.00
fft_task_simd_3, 128, 0.000190, 0.00
fft_task_simd_4, 128, 0.000204, 0.00
fft_task_simd_5, 128, 0.000234, 0.00
fft_task_simd_6, 128, 0.000310, 0.00
fft_task_simd_7, 128, 0.000291, 0.00
fft, 256, 0.000031, 0.00
fft_simd, 256, 0.000030, 0.00
fft_task, 256, 0.000181, 0.00
fft_task_simd, 256, 0.000202, 0.00
fft_task_simd_2, 256, 0.000203, 0.00
fft_task_simd_3, 256, 0.000203, 0.00
fft_task_simd_4, 256, 0.000196, 0.00
fft_task_simd_5, 256, 0.000196, 0.00
fft_task_simd_6, 256, 0.000200, 0.00
fft_task_simd_7, 256, 0.000224, 0.00
fft, 512, 0.000072, 0.00
fft_simd, 512, 0.000148, 0.00
fft_task, 512, 0.000203, 0.00
fft_task_simd, 512, 0.000217, 0.00
fft_task_simd_2, 512, 0.000201, 0.00
fft_task_simd_3, 512, 0.000194, 0.00
fft_task_simd_4, 512, 0.000190, 0.00
fft_task_simd_5, 512, 0.000201, 0.00
fft_task_simd_6, 512, 0.000211, 0.00
fft_task_simd_7, 512, 0.000236, 0.00
fft, 1024, 0.000121, 0.00
fft_simd, 1024, 0.000151, 0.00
fft_task, 1024, 0.000194, 0.00
fft_task_simd, 1024, 0.000229, 0.00
fft_task_simd_2, 1024, 0.000220, 0.00
fft_task_simd_3, 1024, 0.000128, 0.00
fft_task_simd_4, 1024, 0.000174, 0.00
fft_task_simd_5, 1024, 0.000127, 0.00
fft_task_simd_6, 1024, 0.000260, 0.00
fft_task_simd_7, 1024, 0.000163, 0.00
fft, 2048, 0.000259, 0.00
fft_simd, 2048, 0.000285, 0.00
fft_task, 2048, 0.000236, 0.00
fft_task_simd, 2048, 0.000214, 0.00
fft_task_simd_2, 2048, 0.000158, 0.00
fft_task_simd_3, 2048, 0.000191, 0.00
fft_task_simd_4, 2048, 0.000199, 0.00
fft_task_simd_5, 2048, 0.000211, 0.00
fft_task_simd_6, 2048, 0.000204, 0.00
fft_task_simd_7, 2048, 0.000243, 0.00
fft, 4096, 0.000739, 0.00
fft_simd, 4096, 0.000598, 0.00
fft_task, 4096, 0.000245, 0.00
fft_task_simd, 4096, 0.000217, 0.00
fft_task_simd_2, 4096, 0.000268, 0.00
fft_task_simd_3, 4096, 0.000273, 0.00
